Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
02-Sep-2010,1373.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
03-Sep-2010,1384.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
06-Sep-2010,1405.0,09-Sep-2009,793.05,10-Jun-2010,1497.3
07-Sep-2010,1432.0,09-Sep-2009,793.05,10-Jun-2010,1497.3
08-Sep-2010,1430.0,09-Sep-2009,793.05,10-Jun-2010,1497.3
09-Sep-2010,1418.0,09-Sep-2009,793.05,10-Jun-2010,1497.3
13-Sep-2010,1421.95,14-Sep-2009,819.7,10-Jun-2010,1497.3
14-Sep-2010,1456.0,14-Sep-2009,819.7,10-Jun-2010,1497.3
15-Sep-2010,1465.0,15-Sep-2009,828.5,10-Jun-2010,1497.3
16-Sep-2010,1465.0,16-Sep-2009,830.55,10-Jun-2010,1497.3
17-Sep-2010,1459.0,17-Sep-2009,835.05,10-Jun-2010,1497.3
20-Sep-2010,1474.8,22-Sep-2009,862.3,10-Jun-2010,1497.3
21-Sep-2010,1483.8,22-Sep-2009,862.3,10-Jun-2010,1497.3
22-Sep-2010,1495.0,22-Sep-2009,862.3,10-Jun-2010,1497.3
23-Sep-2010,1500.0,23-Sep-2009,869.0,22-Sep-2010,1498.05
24-Sep-2010,1504.9,24-Sep-2009,892.25,22-Sep-2010,1498.05
27-Sep-2010,1511.7,22-Oct-2009,902.65,22-Sep-2010,1498.05
28-Sep-2010,1475.0,22-Oct-2009,902.65,22-Sep-2010,1498.05
29-Sep-2010,1465.0,22-Oct-2009,902.65,22-Sep-2010,1498.05
30-Sep-2010,1460.3,22-Oct-2009,902.65,22-Sep-2010,1498.05
01-Oct-2010,1447.95,22-Oct-2009,902.65,22-Sep-2010,1498.05
04-Oct-2010,1488.0,22-Oct-2009,902.65,22-Sep-2010,1498.05
05-Oct-2010,1498.0,22-Oct-2009,902.65,22-Sep-2010,1498.05
06-Oct-2010,1505.1,22-Oct-2009,902.65,05-Oct-2010,1502.55
07-Oct-2010,1526.0,22-Oct-2009,902.65,06-Oct-2010,1522.65
08-Oct-2010,1562.95,22-Oct-2009,902.65,07-Oct-2010,1553.0
11-Oct-2010,1575.0,22-Oct-2009,902.65,08-Oct-2010,1560.4
12-Oct-2010,1566.0,22-Oct-2009,902.65,11-Oct-2010,1567.9
13-Oct-2010,1572.0,22-Oct-2009,902.65,12-Oct-2010,1570.35
14-Oct-2010,1587.1,22-Oct-2009,902.65,13-Oct-2010,1587.1
15-Oct-2010,1598.0,22-Oct-2009,902.65,13-Oct-2010,1587.1
18-Oct-2010,1585.25,22-Oct-2009,902.65,13-Oct-2010,1587.1
19-Oct-2010,1620.0,22-Oct-2009,902.65,18-Oct-2010,1614.8
20-Oct-2010,1628.6,22-Oct-2009,902.65,19-Oct-2010,1628.6
21-Oct-2010,1603.9,22-Oct-2009,902.65,19-Oct-2010,1628.6
22-Oct-2010,1627.0,22-Oct-2009,902.65,19-Oct-2010,1628.6
25-Oct-2010,1630.1,26-Oct-2009,975.6,19-Oct-2010,1628.6
26-Oct-2010,1647.7,26-Oct-2009,975.6,25-Oct-2010,1638.6
27-Oct-2010,1648.0,27-Oct-2009,991.1,26-Oct-2010,1651.6
28-Oct-2010,1650.0,28-Oct-2009,999.6,26-Oct-2010,1651.6
29-Oct-2010,1651.0,30-Oct-2009,1011.4,26-Oct-2010,1651.6
01-Nov-2010,1667.0,03-Nov-2009,1034.5,29-Oct-2010,1659.6
02-Nov-2010,1671.0,03-Nov-2009,1034.5,01-Nov-2010,1678.9
03-Nov-2010,1684.0,03-Nov-2009,1034.5,01-Nov-2010,1678.9
04-Nov-2010,1705.0,04-Nov-2009,1064.5,03-Nov-2010,1695.4
05-Nov-2010,1740.0,06-Nov-2009,1069.25,04-Nov-2010,1734.15
08-Nov-2010,1757.0,09-Dec-2009,1077.0,05-Nov-2010,1753.6
09-Nov-2010,1756.1,09-Dec-2009,1077.0,08-Nov-2010,1760.05
10-Nov-2010,1760.5,09-Dec-2009,1077.0,08-Nov-2010,1760.05
11-Nov-2010,1739.0,09-Dec-2009,1077.0,08-Nov-2010,1760.05
12-Nov-2010,1721.0,09-Dec-2009,1077.0,08-Nov-2010,1760.05
15-Nov-2010,1748.0,09-Dec-2009,1077.0,08-Nov-2010,1760.05
16-Nov-2010,1763.0,09-Dec-2009,1077.0,15-Nov-2010,1762.4
18-Nov-2010,1780.0,09-Dec-2009,1077.0,15-Nov-2010,1762.4
19-Nov-2010,1776.0,09-Dec-2009,1077.0,18-Nov-2010,1767.85
22-Nov-2010,1770.0,09-Dec-2009,1077.0,19-Nov-2010,1770.5
23-Nov-2010,1756.1,09-Dec-2009,1077.0,19-Nov-2010,1770.5
24-Nov-2010,1761.15,09-Dec-2009,1077.0,19-Nov-2010,1770.5
25-Nov-2010,1788.5,09-Dec-2009,1077.0,24-Nov-2010,1781.25
26-Nov-2010,1771.0,09-Dec-2009,1077.0,24-Nov-2010,1781.25
